Species;Treatment;Site;Block;Plot;Tree_ID;Family;DBH;Height;Sampled_density;Chave_local;Nogueira_local;Literature_density;Chave_literature;Nogueira_literature;sp
Peltophorum dubium ;CMLT;2;1;2;201;Fabaceae;26.6;17.2;0.5284;350.65;364.30;0.6999;461.34;493.10;22
Peltophorum dubium ;CMLM;2;2;1;533;Fabaceae;19.2;9.9;0.5284;108.24;151.76;0.6999;142.40;205.42;22
Peltophorum dubium ;SAFM;2;3;2;725;Fabaceae;14.3;11.5;0.5284;70.48;85.76;0.6999;92.73;116.08;22
Piptadenia gonoacantha;DIV;1;3;1;1727;Fabaceae;35.7;18.5;0.6418;808.36;856.61;0.6375;803.07;850.43;23
Piptadenia gonoacantha;CMLT;1;1;2;1643;Fabaceae;11.8;13;0.6418;66.00;73.49;0.6375;65.57;72.96;23
Piptadenia gonoacantha;CON;2;1;;248;Fabaceae;11.8;10.2;0.6418;52.09;67.67;0.6375;51.75;67.18;23
Piptadenia gonoacantha;CMLT;2;2;2;505;Fabaceae;13.5;10;0.6418;66.44;89.29;0.6375;66.01;88.65;23
Piptadenia gonoacantha;DIV;2;3;2;599;Fabaceae;22.6;13.7;0.6418;247.98;296.03;0.6375;246.36;293.89;23
Poecilanthe parviflora;DIV;1;2;2;4972;Fabaceae;16.6;9.7;0.9301;139.28;204.78;0.9000;134.88;197.65;24
Poecilanthe parviflora;DIV;2;1;;424;Fabaceae;17.6;12.7;0.9301;202.23;252.74;0.9000;195.84;243.94;24
Poecilanthe parviflora;DIV;2;1;1;79;Fabaceae;27.2;12.7;0.9301;473.59;634.07;0.9000;458.62;612.00;24
Poecilanthe parviflora;DIV;2;1;1;87;Fabaceae;14.4;12.2;0.9301;130.77;162.36;0.9000;126.64;156.71;24
Poecilanthe parviflora;DIV;2;1;2;109;Fabaceae;11.9;11.7;0.9301;86.96;107.63;0.9000;84.21;103.88;24
Psidium guajava;SAFM;2;1;2;67;Myrtaceae;10.5;4;0.5191;13.52;30.62;0.6518;16.89;39.12;25
Psidium guajava;CON;2;1;1;275;Myrtaceae;17.5;6.8;0.5191;61.55;107.81;0.6518;76.87;137.76;25
Psidium guajava;CON;2;1;2;291;Myrtaceae;13.4;7.5;0.5191;40.02;63.12;0.6518;49.98;80.65;25
Psidium guajava;CON;2;2;1;559;Myrtaceae;15.6;8;0.5191;57.70;89.50;0.6518;72.05;114.36;25
Psidium guajava;CON;2;2;1;563;Myrtaceae;18.3;6.4;0.5191;63.13;115.71;0.6518;78.84;147.86;25
Psidium guajava;CON;2;2;2;570;Myrtaceae;10.4;5.5;0.5191;18.11;33.44;0.6518;22.62;42.73;25
Pterogyne nitens ;DIV;1;1;2;1314;Fabaceae;16.5;15.3;0.7043;163.01;174.17;0.6821;157.99;168.26;26
Pterogyne nitens ;DIV;1;1;1;1306;Fabaceae;24.6;17.5;0.7043;405.26;423.43;0.6821;392.78;409.07;26
Pterogyne nitens ;SAFM;1;2;2;7469;Fabaceae;28.6;20.2;0.7043;625.57;610.99;0.6821;606.30;590.25;26
Pterogyne nitens ;CMLT;2;3;1;651;Fabaceae;11.8;9.5;0.7043;53.21;73.01;0.6821;51.57;70.53;26
Pterogyne nitens ;SAFM;2;3;1;714;Fabaceae;32.7;11.9;0.7043;484.79;677.12;0.6821;469.86;654.14;26
Pterogyne nitens ;SAFT;2;2;1;359;Fabaceae;38.6;19.8;0.7043;1101.51;1142.47;0.6821;1067.58;1103.70;26
Schinus terebinthifolia ;DIV;1;1;1;1303;Anacardiaceae;26.4;16.7;0.4884;311.34;326.62;0.4900;312.33;327.78;27
Schinus terebinthifolia ;SEM;1;3;2;1622;Anacardiaceae;12.4;11.5;0.4884;49.77;58.78;0.4900;49.93;58.98;27
Schinus terebinthifolia ;DIV;1;2;1;4960;Anacardiaceae;17.4;12.7;0.4884;105.47;123.28;0.4900;105.81;123.72;27
Schinus terebinthifolia ;DIV;2;1;1;85;Anacardiaceae;26.7;13.1;0.4884;250.77;307.53;0.4900;251.57;308.61;27
Schinus terebinthifolia ;DIV;2;1;1;86;Anacardiaceae;10.2;9.5;0.4884;28.01;36.19;0.4900;28.10;36.32;27
Schinus terebinthifolia ;DIV;2;2;0;800;Anacardiaceae;14.6;6.5;0.4884;38.95;67.80;0.4900;39.07;68.04;27
Schizolobium parahyba;SEM;1;1;;337;Fabaceae;46.2;20.5;0.3872;902.59;886.84;0.3380;790.48;766.09;28
Schizolobium parahyba;DIV;1;1;;192;Fabaceae;29.5;21.3;0.3872;390.33;348.68;0.3380;341.84;301.21;28
Schizolobium parahyba;DIV;1;1;;217;Fabaceae;20.7;11.7;0.3872;108.93;134.69;0.3380;95.40;116.35;28
Schizolobium parahyba;SEM;2;3;1;615;Fabaceae;35;16.6;0.3872;427.25;459.49;0.3380;374.18;396.93;28
Schizolobium parahyba;SEM;2;3;;353;Fabaceae;26.9;16.1;0.3872;248.07;260.95;0.3380;217.26;225.42;28
Senegalia polyphylla;DIV;2;3;1;586;Fabaceae;10.6;9.8;0.6806;43.03;56.71;0.6279;39.77;51.99;29
Senegalia polyphylla;DIV;2;3;1;592;Fabaceae;31.8;12.6;0.6806;469.48;627.36;0.6279;433.94;575.16;29
Senegalia polyphylla;DIV;2;3;1;594;Fabaceae;30.5;13.2;0.6806;452.85;583.63;0.6279;418.56;535.07;29
