treatment,site,block,plot,tree_id,family,scientific_name,height_m,DBH1_cm,DBH2_cm,DBH3_cm,DBH4_cm,DBH5_cm,DBH6_cm,DBH7_cm,DBH8_cm,DBH9_cm,DBH10_cm,DBH11_cm
CON,1,1,2,1771,Cannabaceae,Celtis iguanaea (Jacq.) Sarg.,4.4,5.7,,,,,,,,,,
CON,1,1,2,1772,Malvaceae,Ceiba speciosa (A. St.-Hill) Ravenna,4.6,12.1,,,,,,,,,,
CON,1,1,2,1773,Fabaceae,Lonchocaspus cultratus,5.1,6.6,,,,,,,,,,
SEM,1,2,2,1774,Euphorbiaceae,Alchornea glandulosa,4.7,5.5,,,,,,,,,,
SEM,1,2,2,1775,Fabaceae,Lonchocaspus cultratus,19.5,22.9,,,,,,,,,,
SEM,1,2,2,1776,Fabaceae,Lonchocaspus cultratus,5.1,6.5,,,,,,,,,,
SEM,1,2,2,1777,Boraginaceae,Cordia ecalyculata,8.1,14.0,,,,,,,,,,
SEM,1,2,2,1778,Fabaceae,Schizolobium parahyba (Vell.) Blake,17.6,19.2,,,,,,,,,,
CON,1,2,1,1779,Apocynaceae,Tabernaemontana hystrix Steud.,5.5,6.6,,,,,,,,,,
SAFT,1,2,2,1780,Euphorbiaceae,Alchornea triplinervia,8.4,8.2,,,,,,,,,,
SAFT,1,2,2,1781,Lauraceae,Nectandra megapotamica (Spreng.) Mez,11.0,13.7,,,,,,,,,,
SAFT,1,2,2,1782,Fabaceae,Hymenaea courbaril L.,8.6,7.1,,,,,,,,,,
SAFT,1,2,2,1783,Meliaceae,Cedrela fissilis Vell.,7.6,16.6,,,,,,,,,,
SAFT,1,2,2,1784,Apocynaceae,Tabernaemontana hystrix Steud.,5.7,6.6,,,,,,,,,,
SAFT,1,2,2,1785,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,7.2,6.6,,,,,,,,,,
SAFT,1,2,2,1786,Euphorbiaceae,Alchornea triplinervia,8.4,7.9,,,,,,,,,,
SAFT,1,2,2,1787,Lauraceae,Nectandra megapotamica (Spreng.) Mez,3.1,5.7,,,,,,,,,,
SAFT,1,2,2,1788,Fabaceae,Anadenanthera colubrina var. cebil (Griseb.) Altschul,8.5,6.7,,,,,,,,,,
SAFT,1,2,2,1789,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,11.8,19.9,,,,,,,,,,
SAFT,1,2,2,1790,Urticaceae,Urera baccifera (L.) Gaudich. ex Wedd.,6.5,6.5,,,,,,,,,,
SAFT,1,2,2,1791,Lauraceae,Nectandra megapotamica (Spreng.) Mez,12.2,15.5,,,,,,,,,,
SAFT,1,2,2,1792,Fabaceae,Piptadenia gonoacantha (Mart.) J.F.Macbr.,4.1,5.4,,,,,,,,,,
